id,name,recordHolders_0_name,recordHolders_0_country_name,recordHolders_0_country_id,recordHolders_0_active,goatPoints,value
SeasonGrandSlamSemiFinals,Most Grand Slam Semi-Finals in Single Season,Rod Laver,Australia,AUS,false,,4
SeasonMastersSemiFinals,Most Masters Semi-Finals in Single Season,Rafael Nadal,Spain,ESP,true,,8
SeasonBigSemiFinals,"Most Big Semi-Finals in Single Season (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,,13
SeasonHardSemiFinals,Most Hard Semi-Finals in Single Season,Jimmy Connors,United States,USA,false,,12
SeasonClaySemiFinals,Most Clay Semi-Finals in Single Season,Guillermo Vilas,Argentina,ARG,false,,17
SeasonGrassSemiFinals,Most Grass Semi-Finals in Single Season,John Newcombe,Australia,AUS,false,,8
SeasonCarpetSemiFinals,Most Carpet Semi-Finals in Single Season,John McEnroe,United States,USA,false,,12
TournamentSemiFinals,Most Semi-Finals at Single Tournament,Roger Federer,Switzerland,SUI,true,,16
TournamentGrandSlamSemiFinals,Most Grand Slam Semi-Finals at Single Tournament,Roger Federer,Switzerland,SUI,true,,15
TournamentMastersSemiFinals,Most Masters Semi-Finals at Single Tournament,Rafael Nadal,Spain,ESP,true,,14
MostSemiFinalsAtEachGrandSlam,Most Semi-Finals at Each Grand Slam Tournament,Novak Djokovic,Serbia,SRB,true,,9
QuarterFinals,Most Quarter-Finals,Jimmy Connors,United States,USA,false,,293
GrandSlamQuarterFinals,Most Grand Slam Quarter-Finals,Roger Federer,Switzerland,SUI,true,,58
TourFinalsQuarterFinals,Most Tour Finals Quarter-Finals,Roger Federer,Switzerland,SUI,true,,16
AltFinalsQuarterFinals,Most Alternative Tour Finals Quarter-Finals,John McEnroe,United States,USA,false,,10
AllFinalsQuarterFinals,Most All Tour Finals Quarter-Finals (Official and Alternative),Ivan Lendl,United States,USA,false,,19
MastersQuarterFinals,Most Masters Quarter-Finals,Rafael Nadal,Spain,ESP,true,,97
OlympicsQuarterFinals,Most Olympics Quarter-Finals,Roger Federer,Switzerland,SUI,true,,3
BigQuarterFinals,"Most Big Quarter-Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,Switzerland,SUI,true,,164
ATP500QuarterFinals,Most ATP 500/CS Quarter-Finals,Jimmy Connors,United States,USA,false,,61
ATP250QuarterFinals,Most ATP 250/WS Quarter-Finals,Ilie Nastase,Romania,ROU,false,,138
SmallQuarterFinals,"Most Small Quarter-Finals (ATP 500/CS, ATP 250/WS)",Jimmy Connors,United States,USA,false,,175
HardQuarterFinals,Most Hard Quarter-Finals,Roger Federer,Switzerland,SUI,true,,164
ClayQuarterFinals,Most Clay Quarter-Finals,Guillermo Vilas,Argentina,ARG,false,,135
GrassQuarterFinals,Most Grass Quarter-Finals,Roger Federer,Switzerland,SUI,true,,40
CarpetQuarterFinals,Most Carpet Quarter-Finals,Jimmy Connors,United States,USA,false,,93
OutdoorQuarterFinals,Most Outdoor Quarter-Finals,Rafael Nadal,Spain,ESP,true,,201
IndoorQuarterFinals,Most Indoor Quarter-Finals,Jimmy Connors,United States,USA,false,,129
SeasonQuarterFinals,Most Quarter-Finals in Single Season,John Newcombe,Australia,AUS,false,,28
SeasonGrandSlamQuarterFinals,Most Grand Slam Quarter-Finals in Single Season,John Newcombe,Australia,AUS,false,,4
SeasonMastersQuarterFinals,Most Masters Quarter-Finals in Single Season,Novak Djokovic,Serbia,SRB,true,,9
SeasonBigQuarterFinals,"Most Big Quarter-Finals in Single Season (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,,14
SeasonHardQuarterFinals,Most Hard Quarter-Finals in Single Season,Jimmy Connors,United States,USA,false,,13
SeasonClayQuarterFinals,Most Clay Quarter-Finals in Single Season,Manuel Orantes,Spain,ESP,false,,20
SeasonGrassQuarterFinals,Most Grass Quarter-Finals in Single Season,John Newcombe,Australia,AUS,false,,9
SeasonCarpetQuarterFinals,Most Carpet Quarter-Finals in Single Season,Dennis Ralston,United States,USA,false,,13
TournamentQuarterFinals,Most Quarter-Finals at Single Tournament,Roger Federer,Switzerland,SUI,true,,18
TournamentGrandSlamQuarterFinals,Most Grand Slam Quarter-Finals at Single Tournament,Roger Federer,Switzerland,SUI,true,,18
TournamentMastersQuarterFinals,Most Masters Quarter-Finals at Single Tournament,Rafael Nadal,Spain,ESP,true,,16
MostQuarterFinalsAtEachGrandSlam,Most Quarter-Finals at Each Grand Slam Tournament,Roger Federer,Switzerland,SUI,true,,12
Entries,Most Entries,Feliciano Lopez,Spain,ESP,true,,472
GrandSlamEntries,Most Grand Slam Entries,Roger Federer,Switzerland,SUI,true,,81
TourFinalsEntries,Most Tour Finals Entries,Roger Federer,Switzerland,SUI,true,,17
AltFinalsEntries,Most Alternative Tour Finals Entries,John McEnroe,United States,USA,false,,10
AllFinalsEntries,Most All Tour Finals Entries (Official and Alternative),John McEnroe,United States,USA,false,,20
MastersEntries,Most Masters Entries,Feliciano Lopez,Spain,ESP,true,,139
OlympicsEntries,Most Olympics Entries,Yen Hsun Lu,"Taiwan, Province of China",TPE,true,,5
BigEntries,"Most Big Entries (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,Switzerland,SUI,true,,240
ATP500Entries,Most ATP 500/CS Entries,Feliciano Lopez,Spain,ESP,true,,93
ATP250Entries,Most ATP 250/WS Entries,Jaime Fillol,Chile,CHI,false,,223
SmallEntries,"Most Small Entries (ATP 500/CS, ATP 250/WS)",John Alexander,Australia,AUS,false,,270
HardEntries,Most Hard Entries,Feliciano Lopez,Spain,ESP,true,,274
ClayEntries,Most Clay Entries,Guillermo Vilas,Argentina,ARG,false,,210
GrassEntries,Most Grass Entries,John Alexander,Australia,AUS,false,,92
CarpetEntries,Most Carpet Entries,Jimmy Connors,United States,USA,false,,119
OutdoorEntries,Most Outdoor Entries,Feliciano Lopez,Spain,ESP,true,,380
IndoorEntries,Most Indoor Entries,Jimmy Connors,United States,USA,false,,163
SeasonEntries,Most Entries in Single Season,Onny Parun,New Zealand,NZL,false,,40
SeasonHardEntries,Most Hard Entries in Single Season,Haroon Rahim,Pakistan,PAK,false,,21
SeasonClayEntries,Most Clay Entries in Single Season,Jairo Velasco,Spain,ESP,false,,24
SeasonGrassEntries,Most Grass Entries in Single Season,Allan Stone,Australia,AUS,false,,12
SeasonCarpetEntries,Most Carpet Entries in Single Season,Earl Butch Buchholz,United States,USA,false,,16
TournamentEntries,Most Entries at Single Tournament,Jimmy Connors,United States,USA,false,,22
TournamentGrandSlamEntries,Most Grand Slam Entries at Single Tournament,Jimmy Connors,United States,USA,false,,22
TournamentMastersEntries,Most Masters Entries at Single Tournament,Andre Agassi,United States,USA,false,,19
TournamentATP500Entries,Most ATP 500/CS Entries at Single Tournament,Feliciano Lopez,Spain,ESP,true,,20
TournamentATP250Entries,Most ATP 250/WS Entries at Single Tournament,Mikhail Youzhny,Russian Federation,RUS,false,,17
TournamentSmallEntries,Most Small Entries at Single Tournament,Feliciano Lopez,Spain,ESP,true,,20
DifferentEntries,Most Different Entries,Roger Taylor,United Kingdom,GBR,false,,147
MostEntriesAtEachGrandSlam,Most Entries at Each Grand Slam Tournament,Roger Federer,Switzerland,SUI,true,,19
HardestGrandSlamTitle,Hardest Grand Slam Title,Stan Wawrinka,Switzerland,SUI,true,,1.191
HardestTourFinalsTitle,Hardest Tour Finals Title,Stefan Edberg,Sweden,SWE,false,,1.097
HardestAltFinalsTitle,Hardest Alternative Tour Finals Title,Rod Laver,Australia,AUS,false,,1.232
HardestMastersTitle,Hardest Masters Title,Jo Wilfried Tsonga,France,FRA,true,,1.209
HardestOlympicsTitle,Hardest Olympics Title,Andy Murray,United Kingdom,GBR,true,,1.115
HardestATP500Title,Hardest ATP 500/CS Title,Ilie Nastase,Romania,ROU,false,,1.213
HardestATP250Title,Hardest ATP 250/WS Title,Marty Riessen,United States,USA,false,,1.201
HardestHardGrandSlamTitle,Hardest Hard Grand Slam Title,Stan Wawrinka,Switzerland,SUI,true,,1.191
HardestClayGrandSlamTitle,Hardest Clay Grand Slam Title,Stan Wawrinka,Switzerland,SUI,true,,1.184
HardestGrassGrandSlamTitle,Hardest Grass Grand Slam Title,Bjorn Borg,Sweden,SWE,false,,1.161
HardestHardMastersTitle,Hardest Hard Masters Title,Jo Wilfried Tsonga,France,FRA,true,,1.209
HardestClayMastersTitle,Hardest Clay Masters Title,Rafael Nadal,Spain,ESP,true,,1.174
HardestCarpetMastersTitle,Hardest Carpet Masters Title,Brian Gottfried,United States,USA,false,,1.195
FinalWinningPct,Greatest Final Winning Pct.,Thomas Muster,Austria,AUT,false,,81.48%
GrandSlamFinalWinningPct,Greatest Grand Slam Final Winning Pct.,Rod Laver,Australia,AUS,false,,83.33%
TourFinalsFinalWinningPct,Greatest Tour Finals Final Winning Pct.,Alexander Zverev,Germany,GER,true,,100.00%
AltFinalsFinalWinningPct,Greatest Alternative Tour Finals Final Winning Pct.,Boris Becker,Germany,GER,false,,66.67%
AllFinalsFinalWinningPct,Greatest All Tour Finals Final Winning Pct. (Official and Alternative),Alexander Zverev,Germany,GER,true,,100.00%
MastersFinalWinningPct,Greatest Masters Final Winning Pct.,Jim Courier,United States,USA,false,,100.00%
OlympicsFinalWinningPct,Greatest Olympics Final Winning Pct.,Andy Murray,United Kingdom,GBR,true,,100.00%
BigFinalWinningPct,"Greatest Big Final Winning Pct. (Grand Slam, All Tour Finals, Masters, Olympics)",Thomas Muster,Austria,AUT,false,,75.00%
ATP500FinalWinningPct,Greatest ATP 500/CS Final Winning Pct.,Alex Corretja,Spain,ESP,false,,100.00%
ATP250FinalWinningPct,Greatest ATP 250/WS Final Winning Pct.,Richard Krajicek,Netherlands,NED,false,,81.82%
SmallFinalWinningPct,"Greatest Small Final Winning Pct. (ATP 500/CS, ATP 250/WS)",Thomas Muster,Austria,AUT,false,,81.40%
HardFinalWinningPct,Greatest Hard Final Winning Pct.,Rod Laver,Australia,AUS,false,,83.87%
ClayFinalWinningPct,Greatest Clay Final Winning Pct.,Thomas Muster,Austria,AUT,false,,88.89%
GrassFinalWinningPct,Greatest Grass Final Winning Pct.,Greg Rusedski,United Kingdom,GBR,false,,100.00%
CarpetFinalWinningPct,Greatest Carpet Final Winning Pct.,Andre Agassi,United States,USA,false,,100.00%
OutdoorFinalWinningPct,Greatest Outdoor Final Winning Pct.,Thomas Muster,Austria,AUT,false,,84.31%
IndoorFinalWinningPct,Greatest Indoor Final Winning Pct.,Thomas Enqvist,Sweden,SWE,false,,91.67%
TitleWinningPct,Greatest Title / Entry Winning Pct.,Rod Laver,Australia,AUS,false,1,33.96%
GrandSlamTitleWinningPct,Greatest Grand Slam Title / Entry Winning Pct.,Bjorn Borg,Sweden,SWE,false,"2, 1",40.74%
TourFinalsTitleWinningPct,Greatest Tour Finals Title / Entry Winning Pct.,Ilie Nastase,Romania,ROU,false,1,80.00%
AltFinalsTitleWinningPct,Greatest Alternative Tour Finals Title / Entry Winning Pct.,John McEnroe,United States,USA,false,,50.00%
AllFinalsTitleWinningPct,Greatest All Tour Finals Title / Entry Winning Pct. (Official and Alternative),Ilie Nastase,Romania,ROU,false,,50.00%
MastersTitleWinningPct,Greatest Masters Title / Entry Winning Pct.,Novak Djokovic,Serbia,SRB,true,1,31.09%
OlympicsTitleWinningPct,Greatest Olympics Title / Entry Winning Pct.,Alexander Zverev,Germany,GER,true,,100.00%
BigTitleWinningPct,"Greatest Big Title / Entry Winning Pct. (Grand Slam, All Tour Finals, Masters, Olympics)",Bjorn Borg,Sweden,SWE,false,1,33.33%
ATP500TitleWinningPct,Greatest ATP 500/CS Title / Entry Winning Pct.,Roger Federer,Switzerland,SUI,true,,48.00%
ATP250TitleWinningPct,Greatest ATP 250/WS Title / Entry Winning Pct.,Rod Laver,Australia,AUS,false,,38.55%
SmallTitleWinningPct,"Greatest Small Title / Entry Winning Pct. (ATP 500/CS, ATP 250/WS)",Roger Federer,Switzerland,SUI,true,,38.58%
HardTitleWinningPct,Greatest Hard Title / Entry Winning Pct.,Rod Laver,Australia,AUS,false,,40.63%
ClayTitleWinningPct,Greatest Clay Title / Entry Winning Pct.,Rafael Nadal,Spain,ESP,true,,57.94%
GrassTitleWinningPct,Greatest Grass Title / Entry Winning Pct.,Roger Federer,Switzerland,SUI,true,,39.58%
CarpetTitleWinningPct,Greatest Carpet Title / Entry Winning Pct.,John McEnroe,United States,USA,false,,41.75%
OutdoorTitleWinningPct,Greatest Outdoor Title / Entry Winning Pct.,Bjorn Borg,Sweden,SWE,false,,34.71%
IndoorTitleWinningPct,Greatest Indoor Title / Entry Winning Pct.,John McEnroe,United States,USA,false,,43.33%
TitleStreak,Title Streak,Bjorn Borg,Sweden,SWE,false,"2, 1",10
